Destination,Country,State/Region,Popular Attractions,Best Season to Visit,Average Budget (INR),Suggested Duration (Days),Travel Type,Nearest Airport/Railway,Ideal For,Remarks
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,11636,10,Urban,JFK Airport,Friends,Cultural hotspot
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,88094,4,Beach,Dabolim Airport,Friends,Cultural hotspot
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,5155,2,Urban,JFK Airport,Friends,Relaxing experience
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,16593,5,Heritage,Jaipur Airport,Family,Cultural hotspot
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,28202,7,Heritage,Jaipur Airport,Family,Adventure-packed trip
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,35765,5,Heritage,Charles de Gaulle Airport,Couple,Adventure-packed trip
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,38755,7,Adventure,Leh Airport,Couple,Great for photography
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,66814,4,Urban,Dubai Intl Airport,Family,Budget-friendly option
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,55741,4,Heritage,Charles de Gaulle Airport,Couple,Cultural hotspot
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,24340,4,Heritage,Jaipur Airport,Family,Relaxing experience
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,21431,8,Spiritual,Dehradun Airport,Solo,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,47803,2,Adventure,Leh Airport,Couple,Cultural hotspot
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,90821,8,Urban,Haneda Airport,Solo,Cultural hotspot
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,32899,2,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,83943,4,Beach,Ngurah Rai Airport,Couple,Ideal for honeymoon
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,85672,7,Beach,Ngurah Rai Airport,Couple,Ideal for honeymoon
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,64470,10,Heritage,Jaipur Airport,Family,Relaxing experience
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,42531,8,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,61085,4,Nature,Bagdogra Airport,Family,Ideal for honeymoon
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,86733,7,Heritage,Charles de Gaulle Airport,Couple,Budget-friendly option
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,95548,8,Adventure,Leh Airport,Couple,Great for photography
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,16147,5,Spiritual,Dehradun Airport,Solo,Perfect weekend getaway
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,98459,7,Nature,Bagdogra Airport,Family,Cultural hotspot
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,30706,10,Urban,JFK Airport,Friends,Budget-friendly option
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,82633,6,Adventure,Leh Airport,Couple,Ideal for honeymoon
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,47801,3,Beach,Ngurah Rai Airport,Couple,Adventure-packed trip
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,36941,7,Heritage,Charles de Gaulle Airport,Couple,Ideal for honeymoon
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,16920,7,Nature,Bagdogra Airport,Family,Adventure-packed trip
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,43276,8,Spiritual,Dehradun Airport,Solo,Relaxing experience
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,20985,6,Beach,Ngurah Rai Airport,Couple,Perfect weekend getaway
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,92753,5,Urban,JFK Airport,Friends,Relaxing experience
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,57635,2,Urban,JFK Airport,Friends,Budget-friendly option
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,10803,3,Urban,JFK Airport,Friends,Relaxing experience
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,71297,10,Spiritual,Dehradun Airport,Solo,Adventure-packed trip
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,40021,8,Heritage,Jaipur Airport,Family,Budget-friendly option
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,26445,7,Beach,Ngurah Rai Airport,Couple,Great for photography
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,18724,2,Urban,Dubai Intl Airport,Family,Perfect weekend getaway
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,16924,10,Spiritual,Dehradun Airport,Solo,Cultural hotspot
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,6089,9,Beach,Ngurah Rai Airport,Couple,Cultural hotspot
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,82567,10,Urban,Dubai Intl Airport,Family,Relaxing experience
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,19042,5,Urban,Dubai Intl Airport,Family,Relaxing experience
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,48877,6,Beach,Dabolim Airport,Friends,Budget-friendly option
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,75618,3,Beach,Ngurah Rai Airport,Couple,Great for photography
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,94085,7,Beach,Dabolim Airport,Friends,Cultural hotspot
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,54616,2,Heritage,Jaipur Airport,Family,Great for photography
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,27562,3,Nature,Bagdogra Airport,Family,Budget-friendly option
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,14571,8,Adventure,Leh Airport,Couple,Ideal for honeymoon
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,60333,2,Nature,Bagdogra Airport,Family,Adventure-packed trip
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,73671,3,Adventure,Leh Airport,Couple,Ideal for honeymoon
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,78172,4,Urban,Dubai Intl Airport,Family,Budget-friendly option
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,72471,3,Urban,Haneda Airport,Solo,Relaxing experience
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,5773,8,Urban,Dubai Intl Airport,Family,Relaxing experience
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,55528,2,Beach,Dabolim Airport,Friends,Ideal for honeymoon
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,76327,8,Spiritual,Dehradun Airport,Solo,Adventure-packed trip
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,48704,2,Nature,Bagdogra Airport,Family,Ideal for honeymoon
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,47123,2,Urban,Haneda Airport,Solo,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,35701,4,Adventure,Leh Airport,Couple,Ideal for honeymoon
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,50838,9,Heritage,Charles de Gaulle Airport,Couple,Ideal for honeymoon
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,26302,5,Adventure,Leh Airport,Couple,Perfect weekend getaway
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,93882,4,Spiritual,Dehradun Airport,Solo,Cultural hotspot
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,15965,3,Heritage,Charles de Gaulle Airport,Couple,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,99244,9,Adventure,Leh Airport,Couple,Ideal for honeymoon
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,68460,9,Spiritual,Dehradun Airport,Solo,Adventure-packed trip
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,39996,8,Beach,Dabolim Airport,Friends,Adventure-packed trip
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,11151,6,Heritage,Jaipur Airport,Family,Relaxing experience
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,29448,7,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,8871,10,Adventure,Leh Airport,Couple,Perfect weekend getaway
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,42219,10,Beach,Dabolim Airport,Friends,Relaxing experience
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,36765,6,Beach,Dabolim Airport,Friends,Cultural hotspot
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,80606,8,Beach,Dabolim Airport,Friends,Ideal for honeymoon
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,36368,2,Adventure,Leh Airport,Couple,Budget-friendly option
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,36820,5,Nature,Bagdogra Airport,Family,Ideal for honeymoon
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,21328,3,Nature,Bagdogra Airport,Family,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,27858,4,Adventure,Leh Airport,Couple,Relaxing experience
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,11418,2,Urban,Dubai Intl Airport,Family,Great for photography
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,32828,9,Heritage,Charles de Gaulle Airport,Couple,Relaxing experience
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,23510,5,Adventure,Leh Airport,Couple,Great for photography
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,21618,10,Heritage,Charles de Gaulle Airport,Couple,Budget-friendly option
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,56059,7,Beach,Dabolim Airport,Friends,Great for photography
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,57222,5,Urban,JFK Airport,Friends,Ideal for honeymoon
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,78767,3,Heritage,Jaipur Airport,Family,Relaxing experience
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,23047,4,Urban,Haneda Airport,Solo,Budget-friendly option
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,64165,9,Beach,Dabolim Airport,Friends,Perfect weekend getaway
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,36571,8,Nature,Bagdogra Airport,Family,Cultural hotspot
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,67685,2,Nature,Bagdogra Airport,Family,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,68320,5,Adventure,Leh Airport,Couple,Relaxing experience
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,6043,4,Adventure,Leh Airport,Couple,Budget-friendly option
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,10052,7,Beach,Dabolim Airport,Friends,Ideal for honeymoon
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,47286,10,Urban,Haneda Airport,Solo,Budget-friendly option
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,57308,6,Nature,Bagdogra Airport,Family,Adventure-packed trip
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,93403,6,Urban,Dubai Intl Airport,Family,Ideal for honeymoon
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,34940,7,Beach,Dabolim Airport,Friends,Budget-friendly option
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,13087,2,Urban,Dubai Intl Airport,Family,Budget-friendly option
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,75815,3,Urban,Dubai Intl Airport,Family,Relaxing experience
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,38037,2,Beach,Ngurah Rai Airport,Couple,Perfect weekend getaway
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,77783,6,Urban,Dubai Intl Airport,Family,Great for photography
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,80214,7,Beach,Ngurah Rai Airport,Couple,Adventure-packed trip
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,68297,6,Urban,Haneda Airport,Solo,Relaxing experience
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,88628,6,Adventure,Leh Airport,Couple,Perfect weekend getaway
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,7221,4,Spiritual,Dehradun Airport,Solo,Budget-friendly option
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,18198,3,Heritage,Jaipur Airport,Family,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,12879,9,Adventure,Leh Airport,Couple,Great for photography
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,70540,7,Nature,Bagdogra Airport,Family,Budget-friendly option
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,23006,8,Nature,Bagdogra Airport,Family,Great for photography
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,53376,7,Urban,Dubai Intl Airport,Family,Perfect weekend getaway
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,80242,7,Urban,Dubai Intl Airport,Family,Ideal for honeymoon
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,79543,2,Nature,Bagdogra Airport,Family,Budget-friendly option
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,7964,5,Beach,Dabolim Airport,Friends,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,86941,2,Adventure,Leh Airport,Couple,Relaxing experience
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,21535,10,Nature,Bagdogra Airport,Family,Relaxing experience
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,62335,10,Beach,Dabolim Airport,Friends,Adventure-packed trip
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,23032,6,Beach,Dabolim Airport,Friends,Adventure-packed trip
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,53151,8,Heritage,Charles de Gaulle Airport,Couple,Perfect weekend getaway
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,44400,3,Heritage,Jaipur Airport,Family,Cultural hotspot
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,34144,3,Urban,JFK Airport,Friends,Perfect weekend getaway
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,85592,9,Beach,Ngurah Rai Airport,Couple,Cultural hotspot
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,44008,2,Heritage,Jaipur Airport,Family,Budget-friendly option
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,20795,7,Urban,Haneda Airport,Solo,Cultural hotspot
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,17979,7,Heritage,Jaipur Airport,Family,Adventure-packed trip
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,83822,9,Heritage,Jaipur Airport,Family,Perfect weekend getaway
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,89293,3,Heritage,Jaipur Airport,Family,Cultural hotspot
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,98995,3,Beach,Ngurah Rai Airport,Couple,Adventure-packed trip
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,61044,6,Spiritual,Dehradun Airport,Solo,Relaxing experience
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,73284,2,Urban,Dubai Intl Airport,Family,Cultural hotspot
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,66500,7,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,23658,7,Adventure,Leh Airport,Couple,Cultural hotspot
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,10107,6,Beach,Dabolim Airport,Friends,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,32060,9,Adventure,Leh Airport,Couple,Ideal for honeymoon
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,14565,9,Beach,Ngurah Rai Airport,Couple,Perfect weekend getaway
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,74850,7,Adventure,Leh Airport,Couple,Adventure-packed trip
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,91346,6,Beach,Dabolim Airport,Friends,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,25091,2,Adventure,Leh Airport,Couple,Ideal for honeymoon
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,15695,8,Urban,JFK Airport,Friends,Perfect weekend getaway
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,51280,4,Heritage,Charles de Gaulle Airport,Couple,Cultural hotspot
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,77419,5,Heritage,Jaipur Airport,Family,Great for photography
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,47971,10,Heritage,Jaipur Airport,Family,Relaxing experience
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,26545,10,Beach,Dabolim Airport,Friends,Perfect weekend getaway
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,80097,7,Beach,Dabolim Airport,Friends,Perfect weekend getaway
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,61455,9,Beach,Dabolim Airport,Friends,Great for photography
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,46249,5,Heritage,Charles de Gaulle Airport,Couple,Ideal for honeymoon
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,74481,7,Beach,Ngurah Rai Airport,Couple,Cultural hotspot
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,24996,5,Heritage,Charles de Gaulle Airport,Couple,Great for photography
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,58611,4,Beach,Dabolim Airport,Friends,Great for photography
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,97876,6,Beach,Dabolim Airport,Friends,Cultural hotspot
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,90721,4,Heritage,Jaipur Airport,Family,Cultural hotspot
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,59275,10,Urban,JFK Airport,Friends,Relaxing experience
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,40494,2,Heritage,Jaipur Airport,Family,Adventure-packed trip
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,68677,3,Heritage,Jaipur Airport,Family,Cultural hotspot
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,28244,9,Urban,JFK Airport,Friends,Perfect weekend getaway
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,43644,6,Beach,Dabolim Airport,Friends,Ideal for honeymoon
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,20063,9,Beach,Ngurah Rai Airport,Couple,Perfect weekend getaway
